success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0       1051      12862     30.333     77.089         80
      1          0               0       1465      17481     53.599     86.642         90
      1          0               0       1394      26703     63.426     94.983        100
      1          0               0        638       1884      0.726      9.920         10
      1          0               0        457       2294      1.306     19.718         20
      1          0               0        415       4637      2.222     29.386         30
      1          0               0        947      11601      7.969     39.333         40
      1          0               0        852      10325     10.781     48.427         50
      1          0               0       1073      13708     19.012     57.593         60
      1          0               0        988      13894     22.610     67.448         70
      1          0               0        894      15682     26.251     76.683         80
      1          0               0       1124      21672     41.600     86.617         90
      1          0               0       1146      21827     51.268     96.784        100
      1          0               0        723       2232      0.823      9.916         10
      1          0               0        605       3682      1.741     19.663         20
      1          0               0        760       4048      4.007     29.650         30
      1          0               0        633       6279      5.460     38.471         40
      1          0               0        594       8389      7.604     48.067         50
      1          0               0        786       9495     13.754     57.832         60
      1          0               0        783      11835     17.880     67.499         70
      1          0               0        851      13971     24.651     77.392         80
      1          0               0       1047      15127     37.925     87.750         90
      1          0               0       1348      18082     59.355     97.923        100
      1          0               0        467       2463      0.539      9.861         10
      1          0               0        621       4652      1.812     19.655         20
      1          0               0       1047       7701      5.569     29.587         30
      1          0               0        992      10273      8.411     39.210         40
      1          0               0        592       8024      7.488     48.777         50
      1          0               0        620       6441     10.573     59.152         60
      1          0               0        947       9439     21.499     68.384         70
      1          0               0       1235      14947     35.581     78.068         80
      1          0               0       1179      16770     42.892     86.906         90
      1          0               0       1216      19724     55.350     95.896        100
      1          0               0        195        973      0.225      9.836         10
      1          0               0        677       4065      1.947     19.709         20
      1          0               0        830       5953      4.393     29.566         30
      1          0               0        601       5887      5.195     38.720         40
      1          0               0       1235      11499     16.200     47.568         50
      1          0               0        627       7867     11.265     57.290         60
      1          0               0       1303      11089     30.489     66.532         70
      1          0               0       1074      14625     32.165     76.020         80
      1          0               0       1082      13815     40.343     85.154         90
      1          0               0       1026      16761     48.676     93.421        100
      1          0               0        381       1090      0.436      9.929         10
      1          0               0        872       3472      2.482     19.904         20
      1          0               0       1212       5924      6.365     29.842         30
      1          0               0       1378       9758     11.905     38.538         40
      1          0               0       1121      13444     14.265     48.386         50
      1          0               0       1100      13874     19.479     57.607         60
      1          0               0       1079      13868     25.365     66.567         70
      1          0               0       1288      22228     39.727     75.764         80
      1          0               0       1381      21404     52.868     84.502         90
      1          0               0       1377      32193     70.678     91.760        100
