success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0       1047       6754      3.171     29.321         30
      1          0               0       1409      13904      6.039     37.935         40
      1          0               0       1284      12628      7.067     48.642         50
      1          0               0       1101      12282      7.570     57.458         60
      1          0               0       1300      11454     10.881     67.537         70
      1          0               0       1553      16078     16.189     74.268         80
      1          0               0       1713      23916     21.844     84.276         90
      1          0               0       1409      21886     21.894     92.681        100
      1          0               0        824       3461      0.813      9.818         10
      1          0               0       1178       7009      2.423     19.231         20
      1          0               0       1196       9005      3.664     29.102         30
      1          0               0       1375      12774      5.838     38.842         40
      1          0               0        649       8745      3.523     46.368         50
      1          0               0       1403      19132     11.194     56.555         60
      1          0               0        955      12867      8.383     66.382         70
      1          0               0       1103      13770     11.405     75.560         80
      1          0               0       1048      16568     13.120     84.696         90
      1          0               0       1223      22780     20.313     91.271        100
      1          0               0        924       3423      0.843      9.868         10
      1          0               0        786       4501      1.398     19.711         20
      1          0               0       1142       6784      3.248     29.492         30
      1          0               0        911       7656      3.500     38.293         40
      1          0               0        540       6944      2.657     46.554         50
      1          0               0       1543      13993     11.722     56.409         60
      1          0               0       1459      15368     12.438     66.302         70
      1          0               0       1397      14446     13.743     76.480         80
      1          0               0       1912      25612     23.270     85.503         90
      1          0               0       1301      21828     17.351     93.326        100
      1          0               0        736       1973      0.710      9.853         10
      1          0               0        496       2635      0.890     19.609         20
      1          0               0        464       4750      1.324     28.972         30
      1          0               0       1112      13269      4.669     38.754         40
      1          0               0       1392      14037      7.958     47.165         50
      1          0               0        910      11865      5.647     57.175         60
      1          0               0        877      12482      7.009     66.055         70
      1          0               0       1513      28656     16.380     74.785         80
      1          0               0       1250      24536     16.070     83.514         90
      1          0               0       1159      23043     17.410     93.267        100
      1          0               0        734       2370      0.683      9.879         10
      1          0               0        650       3633      1.219     19.582         20
      1          0               0        830       5980      2.307     28.986         30
      1          0               0        618       5813      2.336     37.958         40
      1          0               0        858       8217      4.576     47.383         50
      1          0               0        760       9943      5.157     56.592         60
      1          0               0       1048      12416      9.014     66.675         70
      1          0               0       1678      19646     17.380     77.288         80
      1          0               0       1689      14188     19.303     87.747         90
      1          0               0        914      14773     11.096     94.770        100
      1          0               0        753       2427      0.695      9.886         10
      1          0               0        814       4927      1.531     19.346         20
      1          0               0       1155       9062      3.567     29.552         30
      1          0               0       1039      10657      5.068     37.065         40
      1          0               0       1055      12478      5.914     48.529         50
      1          0               0        943       8611      5.776     59.039         60
      1          0               0       1084      11773      8.463     67.762         70
      1          0               0       1130      13450      9.918     77.289         80
      1          0               0       1106      16869     13.307     84.229         90
      1          0               0       1063      16184     15.589     93.013        100
      1          0               0        316       1029      0.282      9.826         10
      1          0               0        837       2922      1.487     19.664         20
      1          0               0        449       4071      1.198     28.630         30
      1          0               0       1115       9185      4.418     38.385         40
      1          0               0        948       7707      4.958     47.139         50
      1          0               0       1263      12205      8.541     57.141         60
      1          0               0       1330      12401     10.598     66.244         70
      1          0               0        999      13401      9.788     75.338         80
      1          0               0       1463      17874     17.878     84.522         90
      1          0               0       1293      18251     21.517     91.839        100
      1          0               0        383       1110      0.347      9.914         10
      1          0               0        992       4440      1.880     19.809         20
      1          0               0        593       3263      1.608     29.250         30
      1          0               0       1542      13952      7.093     37.021         40
      1          0               0       1254      11034      7.100     48.025         50
      1          0               0       1093      11603      7.879     56.311         60
      1          0               0       1288      18544     12.032     65.322         70
      1          0               0       1501      18588     16.832     74.806         80
      1          0               0       1502      27676     26.743     80.009         90
      1          0               0       1412      24960     22.992     91.807        100
